citizenId,firstName,lastName,email,phoneNo,password,address,latitude,longitude
,Charity,Sen,c-sen5466@gmail.com,6284064278,TBC84TPY9DI,"Sector 16 Vasundhara, Ghaziabad, Delhi NCR",28.6571606,77.355748
,Kylynn,Veena,veena.kylynn3278@gmail.com,8474076338,VGG57JXD8BJ,"Vaishali Ghaziabad, Vaishali, Ghaziabad, Delhi NCR",28.387731,76.96791987
,Ivy,Narang,narang.ivy996@gmail.com,9937495453,UYH43ETQ1FL,"Sector 81, Gurgaon, Sector 81, Gurgaon, Delhi NCR",28.49744987,77.02709198
,Dalton,Puri,d.puri@yahoo.com,7540706171,KKM87WHP6OS,"sector 103 gurgaon, Dwarka Expressway, Gurgaon, Delhi NCR",28.54341218,77.367853
,Keegan,Srivastava,k_srivastava2907@gmail.com,8892501891,GEX47NZW5XM,"lotus boulevard, Sector 100, Noida, Delhi NCR",28.43520877,77.09022523
,Hilel,Raje,h.raje8390@yahoo.com,7814485877,QND31GKL2PN,"Adhunik CGHS, Opp Tau Devil Lal Bio DiversitPark, Sector 52, Gurugram, Delhi NCR, Sector 52, Gurgaon, Delhi NCR",28.6467392,77.3709475
,Alfreda,Srivas,srivas-alfreda@yahoo.com,7393027581,KET76FCU4EQ,"Shakti Khand 2, Ghaziabad, Delhi NCR",28.3907304,77.05782257
,Debra,Chauhan,chauhan-debra3069@yahoo.com,9757822448,YSV42MNJ1GE,"Sector 68, Gurgaon, Delhi NCR",28.482277,76.99199526
,Alvin,Nath,a_nath@yahoo.com,7684960250,UUC85FHO3CF,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",28.5604873,77.384084
,Leslie,Dutta,dutta-leslie@yahoo.com,9869964802,WLD12GRP8WH,"Aspire1106, Sector 78, Noida, Delhi NCR",28.55985069,77.24765015
,Sybill,Chandrasekar,c_sybill@yahoo.com,9214465770,PKG26NZK6HS,"Gali No 9, Garhi Jharia Maria, New Delhi - South, Delhi NCR",28.50809,77.2314673
,Justin,Raje,justin.raje@yahoo.com,7055976617,PSW32DSA2GH,"Krishna Park Colony, New Delhi - South, Delhi NCR",28.558586,77.2511855
,Carissa,Malhotra,m_carissa5292@yahoo.com,6630115342,LMK82OLA1PB,"Amritpuri B East of Kailash, Amritpuri, New Delhi - South, Delhi NCR",28.68956947,77.33861542
,Cameron,Nita,n-cameron@gmail.com,8787742066,RRC09THW5HI,"Shalimar Garden Exten 1 near Gulmohar park, Shalimar garden, Ghaziabad, Delhi NCR",28.5905383,77.35981
,Carla,Joshi,j-carla7057@gmail.com,8550386058,PNO54KFP3JZ,"205. Hardik tower sector 53 Noida, Sector 53, Noida, Delhi NCR",28.5922718,77.0836792
,Xander,Sudha,x_sudha571@yahoo.com,9836186357,MKD57CLY3FJ,"Gali No-15 Sadnagar Palam New Delhi-110045, Palam Colony, New Delhi - Dwarka, Delhi NCR",28.424904,77.03476
,Gray,Jai,jaigray@yahoo.com,8469075099,JME61MXR9FJ,"Central park the resorts sector 48 gurgaon, Sector 48, Gurgaon, Delhi NCR",28.652429,77.1643181
,Brian,Subramanian,subramanian-brian1623@yahoo.com,8273810852,YYI35XOF8JT,"Patel Nagar West, New Delhi - West, Delhi NCR",28.3978564,77.07393158
,Caldwell,Madan,m.caldwell349@yahoo.com,8102718131,NOW11NXY3RA,"Sector 65, Gurgaon, Delhi NCR",28.512136,76.986899
,Ciaran,Prasad,prasad-ciaran2117@gmail.com,8293287526,DFQ64QOX2ET,"G 033., Sector 108, Gurgaon, Delhi NCR",28.65280724,77.4509201
,Cedric,Manohar,c_manohar8698@gmail.com,6970007021,EET26HOV7JG,"Ghaziabad, Vivekanand Nagar, Ghaziabad, Delhi NCR",28.647938,77.340697
,Lois,Sethi,l-sethi7974@gmail.com,8949565440,UIY37EDE7PL,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",28.646509,77.38148828
